monday,ndays,Total,Anthropic,DeepSeek,Google,Mistral,gryphe,OpenAI,Meta,Qwen,microsoft,nousresearch,Cohere,neversleep,openchat,xAI,infermatic,thedrummer,sao10k,anthracite-org,nvidia,Other,Amazon,MiniMax,liquid,cognitivecomputations,OpenRouter,tngtech,Moonshot,Zhipu,alibaba,kwaipilot,intfloat,nex-agi,Xiaomi,sentence-transformers,arcee-ai,stepfun,inclusionai,Tencent,poolside,Perplexity,bytedance-seed,baai
2024-12-30,5,284747617980,134592543982,13104379432,50255535636,14636724247,7853308994,11637168839,16695953722,6527764308,3207786604,4436051313,2829565549,1431517688,1254403751,1340282698,306011122,1291056376,977015759,399306532,86360636,11884880792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-06,7,498587281338,239828316064,20385081108,90875859594,20659086938,10923825660,20678420198,37491179139,10100891614,5195329263,5930899831,8616283415,2008637211,1799712401,1170936143,0,1799391782,1767919468,209280487,357027775,17793143784,996059463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-13,7,518344242046,249892502403,16169614534,101107962395,20564915921,11506827390,23152534057,41179913746,4838789763,4933036332,6982580731,6087677520,1769477313,1934231517,814924526,0,1741196329,3524713756,0,731028922,18927906115,650288500,1834120276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-20,7,527098599049,253264538689,22071439004,98600720448,21203784208,13068478067,26759931924,39558241579,3745879954,6467779393,6166855047,3360983165,1714972783,1731855966,825012383,0,1682966848,739191050,528596723,209439254,19861732668,1016121930,4520077966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-01-27,7,571708379790,314480375873,34882141037,49328434025,24105584548,6878201377,31002010645,37916193173,6228211005,12261807316,5209703631,8119204490,1846455303,0,580102862,0,1719951700,0,152075297,0,25758203147,4370099363,4747670115,2121954883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-03,7,742834016404,361465650650,41889854561,129516426518,51896020666,6769408027,34775007012,38520129478,11531423328,7743341298,6029687057,3423375975,1785112108,0,0,0,1415258728,1072682291,0,1175927941,35281684768,1746772701,4372894206,2033337747,390021344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-10,7,840347683547,347264518125,55439362868,217680179624,60143671198,6904146710,37221830968,35776669767,7829260725,8342437985,6767638805,2590387861,1310302839,857427661,191595819,0,396860825,415600691,0,2006676847,39916818087,2244859973,4163571863,2883864306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-17,7,951405842403,299453396398,74699236912,379468574678,30571478866,6740437444,47658198684,33443510834,12573830169,7987415811,7096873850,2654198540,1450133197,0,177253925,0,2997105094,370025073,0,188569919,38794607627,0,4221632294,859363088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-24,7,1098895503342,396185941433,91003363832,410180983052,39121413969,6157698267,42150382169,36452643663,9109345290,10394958272,7590382683,3698532801,809413643,0,0,0,347198443,175130226,0,0,38166730048,0,6012083770,1339301781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-03,7,1235444125410,426879481386,102856904910,464532851214,40813579528,6465729097,46432276623,51946963375,21788113482,10579358090,8025980160,4531648823,211961665,0,468810907,0,221544819,0,0,0,43583124807,0,3386661873,2719134651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
