symbol,username,user_followers,text,timestamp,sentiment,reshared_count,link,message_id,scraped_at
GLW,Marktraderly,59,"$GLW im guessing volume ends at 195, if bulls want it higher sure, but it would take more effort.",2026-06-19T20:22:55Z,Neutral,0,https://stocktwits.com/message/656954547,656954547,2026-06-20T08:42:35.100746
GLW,Inoboatguy,111,$GLW,2026-06-19T02:12:40Z,Bullish,0,https://stocktwits.com/message/656927809,656927809,2026-06-19T10:15:37.802693
GLW,DanFitz,1080,Here’s your trade on Corning $GLW https://youtu.be/OsKWYtJnNlU,2026-06-19T00:27:37Z,Neutral,0,https://stocktwits.com/message/656923798,656923798,2026-06-19T10:15:37.802706
GLW,2moontrader,56,$GFS $NOK and $GLW. These are the strongest photonics and optics plays. All 3 are $1T stocks in their own rights. Iykyk.,2026-06-19T00:11:32Z,Bullish,0,https://stocktwits.com/message/656923059,656923059,2026-06-19T10:15:37.802711
GLW,2moontrader,56,$GLW not expensive at all. The future is horizontal scaling AI with optics and photonics. Corning is easily worth $2T if you know what’s ahead.,2026-06-19T00:09:46Z,Bullish,1,https://stocktwits.com/message/656922991,656922991,2026-06-19T10:15:37.802715
GLW,cubie,10608,"@ribbey @Jeremymartin007 @Cubie @simon58 @judgeyoung2 @jenbunn @EBE_day @Godreal1 @TraderRapp @tonyctl @zuby34 

$GLW all day meltup eh, had hold till end of day to get the full 2000%",2026-06-18T23:35:12Z,Neutral,0,https://stocktwits.com/message/656921227,656921227,2026-06-19T10:15:37.802719
GLW,gabbs,712,$GLW undecided here if the momentum justifies the expensive price,2026-06-18T22:18:25Z,Neutral,0,https://stocktwits.com/message/656916692,656916692,2026-06-19T10:15:37.802722
GLW,Buffetty,225,$GLW Breaking out of the BULLISH PENNANT🍀🍀🍀🍀🍀🍀,2026-06-18T20:48:12Z,Bullish,0,https://stocktwits.com/message/656908407,656908407,2026-06-19T10:15:37.802726
GLW,ChipDistribution7,726,"$GLW sees a clean setup into Monday. 
 
Structure is holding and price action is coiling near key levels. 
 
Next move will be defined by whether buyers can step in early or if it needs another sweep first. 
 
Either way, this is the kind of chart where the reaction usually comes fast once it picks a direction. 
 
See you Monday.",2026-06-18T20:42:24Z,Neutral,0,https://stocktwits.com/message/656907791,656907791,2026-06-19T10:15:37.802729
GLW,graph,143,"$AAOI $AXTI $COHR $GLW $LITE AXT, Inc. does not produce 100% of the world&#39;s Indium Phosphide (InP) material. The company produces approximately 40% of the entire global supply chain for InP substrates.The InP market is an oligopoly. While AXT is a major player, the competitive landscape is divided among a few key entities:AXT Inc.: Controls approximately 40% of the global InP supply chain.",2026-06-18T20:27:56Z,Bullish,1,https://stocktwits.com/message/656906143,656906143,2026-06-19T10:15:37.802732
GLW,C1Ideas,8,$GLW YES,2026-06-18T20:17:39Z,Bullish,0,https://stocktwits.com/message/656904614,656904614,2026-06-19T10:15:37.802735
GLW,Nasdaq_Frontier,27,"For years, AI infrastructure has been the leading theme.  
And there is no reason to think that has changed.  
It has only accelerated. 
 
Photonics: $AAOI $SIVE $AXTI $LITE $COHR $GLW  
 
The AI infrastructure story is far from over, and photonics is becoming an increasingly important piece of the puzzle. As AI training and inference workloads continue to grow, data movement—not compute itself—is emerging as the next major bottleneck. 
 
AAOI, LITE, and COHR benefit from rising demand for optical modules, lasers, and high-speed interconnects. SIVE is positioned around silicon photonics, a technology that could reshape next-generation data centers. AXTI supplies critical semiconductor materials, while GLW remains a key player in fiber optics and specialty glass. 
 
Investors spent years focusing on GPUs. The next phase may be about moving data faster and more efficiently. If AI spending continues to expand, the photonics ecosystem could become one of the most important growth themes of the next decade. 
 
Which name do you think has the biggest upside from here: AAOI, LITE, or SIVE?",2026-06-18T19:58:11Z,Neutral,0,https://stocktwits.com/message/656900521,656900521,2026-06-19T10:15:37.802738
GLW,Stock_Sloth,28,$GLW should I keep my July $200 calls open?,2026-06-18T19:56:08Z,Neutral,0,https://stocktwits.com/message/656900007,656900007,2026-06-19T10:15:37.802741
GLW,ShadyAggie40,123,$GLW It happened,2026-06-18T19:27:44Z,Neutral,2,https://stocktwits.com/message/656894616,656894616,2026-06-19T10:15:37.802745
GLW,Olivia_Strickland,674,"$GLW running hot, +10.9% session on 12M shares and still vertical. these moves can lose steam fast when they stretch this far from the prior close.

calling it now, no follow-through by EOD unless it finds a base first.

this is what my scanner flagged: https://tapeboard.com/research/GLW?utm_source=stocktwits&amp;utm_medium=post&amp;utm_campaign=olivia&amp;utm_content=glw-bk-up-scanner&amp;utm_term=research",2026-06-18T19:27:39Z,Neutral,0,https://stocktwits.com/message/656894604,656894604,2026-06-19T10:15:37.802748
GLW,Buffetty,225,$GLW Buying a chunk🍀🍀🍀,2026-06-18T19:21:36Z,Bullish,0,https://stocktwits.com/message/656893672,656893672,2026-06-19T10:15:37.802751
GLW,Inoboatguy,111,$GLW,2026-06-18T19:20:51Z,Bullish,0,https://stocktwits.com/message/656893555,656893555,2026-06-19T10:15:37.802754
GLW,JFDI,107196,$GLW Igniter Bar &amp; Pocket Pivot with a strong close,2026-06-18T19:16:55Z,Bullish,1,https://stocktwits.com/message/656892968,656892968,2026-06-19T10:15:37.802757
GLW,ShadyAggie40,123,$GLW,2026-06-18T19:09:25Z,Neutral,1,https://stocktwits.com/message/656891882,656891882,2026-06-19T10:15:37.802761
GLW,Tammybluntz,156,$GLW going to 300+ by end of year,2026-06-18T19:04:48Z,Bullish,0,https://stocktwits.com/message/656891172,656891172,2026-06-19T10:15:37.802764
GLW,Inoboatguy,111,"$GLW $ORCL $FIG  
 
3 WINNERS BIGLY 🚀🏁🌎 
 
Corning glass $glw 
 
Oracle $orcl 
 
FIGMA $FIG 
 
FIGMA CONFERENCE NEXT WEEK  
 
FIGMA ANNOUNCES NEW Ai PRODUCT DEATAILS 
 
https://youtube.com/shorts/JmrBa9zwWRo?is=NsrbMX-65AlRwKBz",2026-06-18T18:58:54Z,Bullish,0,https://stocktwits.com/message/656890247,656890247,2026-06-19T10:15:37.802767
GLW,Inoboatguy,111,$GLW,2026-06-18T18:56:14Z,Bullish,0,https://stocktwits.com/message/656889751,656889751,2026-06-19T10:15:37.802770
GLW,Tammybluntz,156,"Sell $MU $SNDK and buy $GLW 

The next big bottleneck is optical and Corning is the goat. They make the glass for your iPhones and now Nvidia/amazon/meta getting optical and fiber from there 

One of the top manufacturing companies in America this is going from 165b marketcap to 1 trillion",2026-06-18T18:49:23Z,Bullish,0,https://stocktwits.com/message/656888649,656888649,2026-06-19T10:15:37.802773
GLW,Inoboatguy,111,$GLW,2026-06-18T18:15:51Z,Neutral,1,https://stocktwits.com/message/656883396,656883396,2026-06-19T10:15:37.802776
GLW,Tammybluntz,156,$GLW once we pass 200 we’re going to 300,2026-06-18T18:03:01Z,Bullish,0,https://stocktwits.com/message/656881348,656881348,2026-06-19T10:15:37.802779
GLW,TheArtOfFinancialWar,913,$GLW when this is 200 candidate for shorting,2026-06-18T17:50:55Z,Bearish,0,https://stocktwits.com/message/656879414,656879414,2026-06-19T10:15:37.802783
GLW,FeedMillManager,18,$GLW,2026-06-18T17:37:23Z,Neutral,0,https://stocktwits.com/message/656877258,656877258,2026-06-19T10:15:37.802786
GLW,Rickyboy06,211,$GLW June 26th calls are still expensive even with that $2 move lower lol. MM&#39;s jacking it up then when you buy they will lower it down! Crooks!,2026-06-18T17:29:57Z,Neutral,0,https://stocktwits.com/message/656875975,656875975,2026-06-19T10:15:37.802789
